Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Belpassi, Leonardo; Infante, Ivan; Tarantelli, Francesco; Visscher, Lucas; ","The Chemical Bond between Au (I) and the Noble Gases. Comparative Study of NgAuF and NgAu+ (Ng= Ar, Kr, Xe) by Density Functional and Coupled Cluster Methods",Journal of the American Chemical Society,130,3,1048-1060,2008,ACS Publications
"Wiederhold, Jan G; Cramer, Christopher J; Daniel, Kelly; Infante, Ivan; Bourdon, Bernard; Kretzschmar, Ruben; ",Equilibrium mercury isotope fractionation between dissolved Hg (II) species and thiol-bound Hg,Environmental science & technology,44,11,4191-4197,2010,American Chemical Society
"Giansante, Carlo; Infante, Ivan; Fabiano, Eduardo; Grisorio, Roberto; Suranna, Gian Paolo; Gigli, Giuseppe; ",“Darker-than-Black” PbS quantum dots: enhancing optical absorption of colloidal semiconductor nanocrystals via short conjugated ligands,Journal of the American Chemical Society,137,5,1875-1886,2015,American Chemical Society
"ten Brinck, Stephanie; Infante, Ivan; ","Surface termination, morphology, and bright photoluminescence of cesium lead halide perovskite nanocrystals",ACS Energy Letters,1,6,1266-1272,2016,American Chemical Society
"Houtepen, Arjan J; Hens, Zeger; Owen, Jonathan S; Infante, Ivan; ",On the origin of surface traps in colloidal II–VI semiconductor nanocrystals,Chemistry of Materials,29,2,752-761,2017,American Chemical Society
"Giansante, Carlo; Infante, Ivan; ",Surface traps in colloidal quantum dots: a combined experimental and theoretical perspective,The journal of physical chemistry letters,8,20,5209-5215,2017,American Chemical Society
"Krieg, Franziska; Ochsenbein, Stefan T; Yakunin, Sergii; Ten Brinck, Stephanie; Aellen, Philipp; Suess, Adrian; Clerc, Baptiste; Guggisberg, Dominic; Nazarenko, Olga; Shynkarenko, Yevhen; ","Colloidal CsPbX3 (X= Cl, Br, I) nanocrystals 2.0: Zwitterionic capping ligands for improved durability and stability",ACS energy letters,3,3,641-646,2018,American Chemical Society
"Benin, Bogdan M; Dirin, Dmitry N; Morad, Viktoriia; Wörle, Michael; Yakunin, Sergii; Rainò, Gabriele; Nazarenko, Olga; Fischer, Markus; Infante, Ivan; Kovalenko, Maksym V; ",Highly emissive self‐trapped excitons in fully inorganic zero‐dimensional tin halides,Angewandte Chemie International Edition,57,35,11329-11333,2018,
"De Roo, Jonathan; Yazdani, Nuri; Drijvers, Emile; Lauria, Alessandro; Maes, Jorick; Owen, Jonathan S; Van Driessche, Isabel; Niederberger, Markus; Wood, Vanessa; Martins, Jose C; ",Probing solvent–ligand interactions in colloidal nanocrystals by the NMR line broadening,Chemistry of Materials,30,15,5485-5492,2018,American Chemical Society
"Singh, Shalini; Tomar, Renu; Ten Brinck, Stephanie; De Roo, Jonathan; Geiregat, Pieter; Martins, José C; Infante, Ivan; Hens, Zeger; ","Colloidal CdSe nanoplatelets, a model for surface chemistry/optoelectronic property relations in semiconductor nanocrystals",Journal of the American Chemical Society,140,41,13292-13300,2018,American Chemical Society
