Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Belpassi, Leonardo; Infante, Ivan; Tarantelli, Francesco; Visscher, Lucas; ","The Chemical Bond between Au (I) and the Noble Gases. Comparative Study of NgAuF and NgAu+ (Ng= Ar, Kr, Xe) by Density Functional and Coupled Cluster Methods",Journal of the American Chemical Society,130,3,1048-1060,2008,ACS Publications
"Infante, Ivan; Eliav, Ephraim; Vilkas, Marius J; Ishikawa, Yasuyuki; Kaldor, Uzi; Visscher, Lucas; ","A Fock space coupled cluster study on the electronic structure of the UO, UO, U, and U species",The Journal of chemical physics,127,,124308,2007,
"Infante, Ivan; Gomes, André Severo Pereira; Visscher, Lucas; ","On the performance of the intermediate Hamiltonian Fock-space coupled-cluster method on linear triatomic molecules: The electronic spectra of NpO, NpO, and PuO",The Journal of chemical physics,125,,074301,2006,
"Infante, Ivan; Visscher, Lucas; ",QM/MM study of aqueous solvation of the uranyl fluoride [UO2F 42−] complex,Journal of computational chemistry,25,3,386-392,2004,Wiley Online Library
"Infante, Ivan; Gagliardi, Laura; Scuseria, Gustavo E; ",Is Fullerene C60 Large Enough to Host a Multiply Bonded Dimetal?,Journal of the American Chemical Society,130,23,7459-7465,2008,ACS Publications
"Infante, Ivan; Visscher, Lucas; ",The importance of spin-orbit coupling and electron correlation in the rationalization of the ground state of the CUO molecule,The Journal of chemical physics,121,,5783,2004,
"Groenewold, Gary S; Gianotto, Anita K; McIlwain, Michael E; Van Stipdonk, Michael J; Kullman, Michael; Moore, David T; Polfer, Nick; Oomens, Jos; Infante, Ivan; Visscher, Lucas; ",Infrared spectroscopy of discrete uranyl anion complexes,The Journal of Physical Chemistry A,112,3,508-521,2008,American Chemical Society
"Wang, Xuefeng; Andrews, Lester; Infante, Ivan; Gagliardi, Laura; ",Infrared Spectra of the WH4 (H2) 4 Complex in Solid Hydrogen,Journal of the American Chemical Society,130,6,1972-1978,2008,ACS Publications
"Infante, Ivan; Gagliardi, Laura; Wang, Xuefeng; Andrews, Lester; ",Binding Motifs for Lanthanide Hydrides: A Combined Experimental and Theoretical Study of the MH x (H2) y Species (M= La− Gd; x= 1− 4; y= 0− 6),The Journal of Physical Chemistry A,113,11,2446-2455,2009,ACS Publications
"La Macchia, Giovanni; Infante, Ivan; Raab, Juraj; Gibson, John K; Gagliardi, Laura; ",A theoretical study of the ground state and lowest excited states of PuO0/+/+ 2 and PuO20/+/+ 2,Phys. Chem. Chem. Phys.,10,48,7278-7283,2008,The Royal Society of Chemistry
"Wiederhold, Jan G; Cramer, Christopher J; Daniel, Kelly; Infante, Ivan; Bourdon, Bernard; Kretzschmar, Ruben; ",Equilibrium mercury isotope fractionation between dissolved Hg (II) species and thiol-bound Hg,Environmental science & technology,44,11,4191-4197,2010,American Chemical Society
"Infante, Ivan; Raab, Juraj; Lyon, Jonathan T; Liang, Binyong; Andrews, Lester; Gagliardi, Laura; ",Experimental and theoretical evidence for U (C6H6) and Th (C6H6) complexes,The Journal of Physical Chemistry A,111,47,11996-12000,2007,ACS Publications
"Infante, Ivan; Kovacs, Attila; Macchia, Giovanni La; Shahi, Abdul Rehaman Moughal; Gibson, John K; Gagliardi, Laura; ","Ionization Energies for the Actinide Mono-and Dioxides Series, from Th to Cm: Theory versus Experiment",The Journal of Physical Chemistry A,114,19,6007-6015,2010,ACS Publications
"Averkiev, Boris B; Mantina, Manjeera; Valero, Rosendo; Infante, Ivan; Kovacs, Attila; Truhlar, Donald G; Gagliardi, Laura; ",How accurate are electronic structure methods for actinoid chemistry?,"Theoretical Chemistry Accounts: Theory, Computation, and Modeling (Theoretica Chimica Acta)",,,1-10,2011,Springer
"Vlaisavljevich, Bess; Miró, Pere; Cramer, Christopher J; Gagliardi, Laura; Infante, Ivan; Liddle, Stephen T; ",On the Nature of Actinide–and Lanthanide–Metal Bonds in Heterobimetallic Compounds,Chemistry-A European Journal,17,30,8424-8433,2011,Wiley Online Library
"Mujika, Jon I; Ruipérez, Fernando; Infante, Ivan; Ugalde, Jesus M; Exley, C; Lopez, X; ",Pro-oxidant activity of aluminum: stabilization of the aluminum superoxide radical ion,The Journal of Physical Chemistry A,115,24,6717-6723,2011,American Chemical Society
"Ruiperez, Fernando; Aquilante, Francesco; Ugalde, Jesus M; Infante, Ivan; ",Complete vs Restricted Active Space Perturbation Theory Calculation of the Cr2 Potential Energy Surface,Journal of Chemical Theory and Computation,,,,2011,ACS Publications
"Azpiroz, Jon M; Lopez, Xabier; Ugalde, Jesus M; Infante, Ivan; ",Modeling surface passivation of ZnS quantum dots,The Journal of Physical Chemistry C,116,4,2740-2750,2012,American Chemical Society
"Huber, Stefan M; Jimenez-Izal, Elisa; Ugalde, Jesus M; Infante, Ivan; ",Unexpected trends in halogen-bond based noncovalent adducts,Chemical Communications,48,62,7708-7710,2012,Royal Society of Chemistry
"Azpiroz, Jon M; Infante, Ivan; Lopez, Xabier; Ugalde, Jesus M; Angelis, Filippo De; ","A First-Principles Study of II–VI (II= Zn; VI= O, S, Se, Te) Semiconductor Nanostructures",Journal of Materials Chemistry,22,40,21453-21465,2012,Royal Society of Chemistry
"Matxain, Jon M; Ruipérez, Fernando; Infante, Ivan; Lopez, Xabier; Ugalde, Jesus M; Merino, Gabriel; Piris, Mario; ",Communication: Chemical bonding in carbon dimer isovalent series from the natural orbital functional theory perspective,The Journal of chemical physics,138,15,,2013,AIP Publishing
